rank,prolang_name,prolang_website
1,ซี (ภาษาโปรแกรม),https://th.wikipedia.org/wiki/%E0%B8%8B%E0%B8%B5_(%E0%B8%A0%E0%B8%B2%E0%B8%A9%E0%B8%B2%E0%B9%82%E0%B8%9B%E0%B8%A3%E0%B9%81%E0%B8%81%E0%B8%A3%E0%B8%A1)
2,ซี++,https://th.wikipedia.org/wiki/%E0%B8%8B%E0%B8%B5%2B%2B
3,ภาษาซีชาร์ป,https://th.wikipedia.org/wiki/%E0%B8%A0%E0%B8%B2%E0%B8%A9%E0%B8%B2%E0%B8%8B%E0%B8%B5%E0%B8%8A%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%9B
4,ภาษาอ็อบเจกทีฟ-ซี,https://th.wikipedia.org/wiki/%E0%B8%A0%E0%B8%B2%E0%B8%A9%E0%B8%B2%E0%B8%AD%E0%B9%87%E0%B8%AD%E0%B8%9A%E0%B9%80%E0%B8%88%E0%B8%81%E0%B8%97%E0%B8%B5%E0%B8%9F-%E0%B8%8B%E0%B8%B5
5,ภาษาโปรล็อก,https://th.wikipedia.org/wiki/%E0%B8%A0%E0%B8%B2%E0%B8%A9%E0%B8%B2%E0%B9%82%E0%B8%9B%E0%B8%A3%E0%B8%A5%E0%B9%87%E0%B8%AD%E0%B8%81
6,จาวา (ภาษาโปรแกรม),https://th.wikipedia.org/wiki/%E0%B8%88%E0%B8%B2%E0%B8%A7%E0%B8%B2_(%E0%B8%A0%E0%B8%B2%E0%B8%A9%E0%B8%B2%E0%B9%82%E0%B8%9B%E0%B8%A3%E0%B9%81%E0%B8%81%E0%B8%A3%E0%B8%A1)
7,ภาษาเพิร์ล,https://th.wikipedia.org/wiki/%E0%B8%A0%E0%B8%B2%E0%B8%A9%E0%B8%B2%E0%B9%80%E0%B8%9E%E0%B8%B4%E0%B8%A3%E0%B9%8C%E0%B8%A5
8,ภาษาพีเอชพี,https://th.wikipedia.org/wiki/%E0%B8%A0%E0%B8%B2%E0%B8%A9%E0%B8%B2%E0%B8%9E%E0%B8%B5%E0%B9%80%E0%B8%AD%E0%B8%8A%E0%B8%9E%E0%B8%B5
9,ไพทอน (ภาษาโปรแกรม),https://th.wikipedia.org/wiki/%E0%B9%84%E0%B8%9E%E0%B8%97%E0%B8%AD%E0%B8%99_(%E0%B8%A0%E0%B8%B2%E0%B8%A9%E0%B8%B2%E0%B9%82%E0%B8%9B%E0%B8%A3%E0%B9%81%E0%B8%81%E0%B8%A3%E0%B8%A1)
10,ภาษารูบี,hthttps://th.wikipedia.org/wiki/%E0%B8%A0%E0%B8%B2%E0%B8%A9%E0%B8%B2%E0%B8%A3%E0%B8%B9%E0%B8%9A%E0%B8%B5tps://en.wikipedia.org/wiki/Ruby_(programming_language)
